dt,gender,age,chainname,number_visit
2015-07-10,female,18_24,Chick-fil-A,180
2015-07-10,female,25_34,Popeyes Louisiana Kitchen,214
2015-07-10,female,55_64,Chick-fil-A,187
2015-07-10,male,55_64,Popeyes Louisiana Kitchen,49
2015-07-10,male,35_44,Chick-fil-A,1029
2015-07-10,male,35_44,Popeyes Louisiana Kitchen,252
2015-07-10,female,18_24,Popeyes Louisiana Kitchen,38
2015-07-10,male,18_24,Chick-fil-A,143
2015-07-10,male,25_34,Popeyes Louisiana Kitchen,271
2015-07-10,male,65_plus,Popeyes Louisiana Kitchen,14
2015-07-10,male,65_plus,Chick-fil-A,56
2015-07-11,male,65_plus,Popeyes Louisiana Kitchen,13
2015-07-11,male,18_24,Popeyes Louisiana Kitchen,30
2015-07-11,male,55_64,Popeyes Louisiana Kitchen,44
2015-07-11,female,45_54,Popeyes Louisiana Kitchen,94
2015-07-11,male,45_54,Popeyes Louisiana Kitchen,123
2015-07-11,male,25_34,Chick-fil-A,986
2015-07-11,female,Under_18,Chick-fil-A,9
2015-07-11,male,25_34,Popeyes Louisiana Kitchen,288
2015-07-11,male,18_24,Chick-fil-A,156
2015-07-11,male,35_44,Chick-fil-A,1138
2015-07-11,female,65_plus,Popeyes Louisiana Kitchen,12
2015-07-11,female,25_34,Popeyes Louisiana Kitchen,235
2015-07-11,male,Under_18,Chick-fil-A,6
2015-07-11,male,35_44,Popeyes Louisiana Kitchen,242
2015-07-11,male,65_plus,Chick-fil-A,83
2015-07-11,female,35_44,Popeyes Louisiana Kitchen,156
2015-07-11,female,45_54,Chick-fil-A,470
2015-07-11,male,55_64,Chick-fil-A,218
2015-07-11,female,55_64,Popeyes Louisiana Kitchen,31
2015-07-11,female,18_24,Popeyes Louisiana Kitchen,36
2015-07-11,female,18_24,Chick-fil-A,201
2015-07-11,male,45_54,Chick-fil-A,623
2015-07-11,female,25_34,Chick-fil-A,956
2015-07-11,female,65_plus,Chick-fil-A,72
2015-07-11,female,35_44,Chick-fil-A,789
2015-07-11,female,55_64,Chick-fil-A,180
